date,action_id,weights,turnover,rebalance_cost,reward
2019-01-31,12,"[0.7, 0.2, 0.0, 0.1]",0.4499999999999999,0.0062999999999999,0.1523735252580627
2019-02-28,235,"[0.0, 0.5, 0.5, 0.0]",0.7999999999999999,0.0112,0.0308847637063271
2019-03-31,252,"[0.0, 0.3, 0.3, 0.4]",0.4,0.0056,0.0119213995829238
2019-04-30,265,"[0.0, 0.1, 0.9, 0.0]",0.6000000000000001,0.0084,0.034156973134686
2019-05-31,32,"[0.6, 0.0, 0.2, 0.2]",0.7999999999999999,0.0112,0.0084802774075221
2019-06-30,274,"[0.0, 0.1, 0.0, 0.9]",0.7999999999999999,0.0112,0.0690554763807939
2019-07-31,166,"[0.1, 0.8, 0.1, 0.0]",0.9,0.0126,0.0209184771948525
2019-08-31,284,"[0.0, 0.0, 0.1, 0.9]",0.9,0.0126,0.0569364840875907
2019-09-30,188,"[0.1, 0.3, 0.4, 0.2]",0.7,0.0098,0.004332824344446
2019-10-31,155,"[0.2, 0.1, 0.0, 0.7]",0.6,0.0084,0.0074951885753429
2019-11-30,124,"[0.2, 0.6, 0.1, 0.1]",0.6,0.0084,0.0414308890057279
2019-12-31,252,"[0.0, 0.3, 0.3, 0.4]",0.5,0.007,0.0271534062601404
2020-01-31,282,"[0.0, 0.0, 0.3, 0.7]",0.2999999999999999,0.0041999999999999,0.0271764441406959
2020-02-29,257,"[0.0, 0.2, 0.7, 0.1]",0.6,0.0084,-0.0697959373718433
2020-03-31,132,"[0.2, 0.4, 0.2, 0.2]",0.5,0.007,-0.1529379001855929
2020-04-30,142,"[0.2, 0.2, 0.5, 0.1]",0.3,0.0042,0.094266656658525
2020-05-31,90,"[0.3, 0.4, 0.3, 0.0]",0.3,0.0042,0.1221400613964579
2020-06-30,21,"[0.6, 0.3, 0.1, 0.0]",0.3,0.0042,0.0327961616249402
2020-07-31,201,"[0.1, 0.1, 0.8, 0.0]",0.7000000000000001,0.0098,0.0577414453551869
2020-08-31,43,"[0.5, 0.2, 0.1, 0.2]",0.7000000000000001,0.0098,0.0058517301358903
2020-09-30,265,"[0.0, 0.1, 0.9, 0.0]",0.8,0.0112,-0.0533978438827525
2020-10-31,53,"[0.5, 0.0, 0.2, 0.3]",0.7999999999999999,0.0112,-0.0233614816327482
2020-11-30,25,"[0.6, 0.2, 0.0, 0.2]",0.3,0.0042,0.2324473950858774
2020-12-31,224,"[0.0, 0.8, 0.1, 0.1]",0.7000000000000001,0.0098,0.0294905294840127
2021-01-31,234,"[0.0, 0.6, 0.0, 0.4]",0.3,0.0042,-0.0118051772557911
2021-02-28,56,"[0.4, 0.6, 0.0, 0.0]",0.4,0.0056,0.0459530035287058
2021-03-31,54,"[0.5, 0.0, 0.1, 0.4]",0.6,0.0084,0.032606306280558
2021-04-30,52,"[0.5, 0.0, 0.3, 0.2]",0.2,0.0028,0.0115089751873908
2021-05-31,21,"[0.6, 0.3, 0.1, 0.0]",0.3999999999999999,0.0056,0.0700989418729943
2021-06-30,259,"[0.0, 0.2, 0.5, 0.3]",0.7,0.0098,-0.0057513374899003
2021-07-31,76,"[0.4, 0.1, 0.0, 0.5]",0.6,0.0084,0.0338046325578197
2021-08-31,90,"[0.3, 0.4, 0.3, 0.0]",0.6000000000000001,0.0084,0.0722288505280726
2021-09-30,61,"[0.4, 0.4, 0.0, 0.2]",0.3,0.0042,-0.0968080727210643
2021-10-31,105,"[0.3, 0.1, 0.6, 0.0]",0.6000000000000001,0.0084,0.0468571787883014
2021-11-30,185,"[0.1, 0.4, 0.0, 0.5]",0.8,0.0112,-0.0333662857654488
2021-12-31,80,"[0.4, 0.0, 0.3, 0.3]",0.6000000000000001,0.0084,0.0510747652721182
2022-01-31,149,"[0.2, 0.1, 0.6, 0.1]",0.4,0.0056,-0.0451955804488135
2022-02-28,226,"[0.0, 0.7, 0.3, 0.0]",0.6,0.0084,-0.0544442457414181
2022-03-31,259,"[0.0, 0.2, 0.5, 0.3]",0.5,0.007,0.0222419717284179
2022-04-30,255,"[0.0, 0.3, 0.0, 0.7]",0.5,0.007,-0.0640648791175784
2022-05-31,50,"[0.5, 0.0, 0.5, 0.0]",1.0,0.014,-0.0089992704157451
2022-06-30,78,"[0.4, 0.0, 0.5, 0.1]",0.0999999999999999,0.0014,-0.1358957102871267
2022-07-31,186,"[0.1, 0.3, 0.6, 0.0]",0.4,0.0056,0.0974263229528241
2022-08-31,46,"[0.5, 0.1, 0.3, 0.1]",0.5,0.007,0.0250886381895129
2022-09-30,70,"[0.4, 0.2, 0.0, 0.4]",0.4,0.0056,-0.0577943362397258
2022-10-31,62,"[0.4, 0.3, 0.3, 0.0]",0.4,0.0056,0.051926385870341
2022-11-30,103,"[0.3, 0.2, 0.1, 0.4]",0.4,0.0056,0.0860638014643053
2022-12-31,224,"[0.0, 0.8, 0.1, 0.1]",0.6000000000000001,0.0084,-0.0683937120339843
2023-01-31,212,"[0.1, 0.0, 0.7, 0.2]",0.8,0.0112,0.0656226940193883
2023-02-28,3,"[0.9, 0.0, 0.0, 0.1]",0.8,0.0112,0.0003490421146601
2023-03-31,125,"[0.2, 0.6, 0.0, 0.2]",0.7,0.0098,0.0702479225794891
2023-04-30,242,"[0.0, 0.4, 0.5, 0.1]",0.5,0.007,0.0117037262734189
2023-05-31,174,"[0.1, 0.6, 0.0, 0.3]",0.5,0.007,0.0486831162682487
2023-06-30,146,"[0.2, 0.2, 0.1, 0.5]",0.4,0.0056,0.0425220329679669
2023-07-31,258,"[0.0, 0.2, 0.6, 0.2]",0.5,0.007,0.0278472604882796
2023-08-31,87,"[0.3, 0.5, 0.2, 0.0]",0.6,0.0084,-0.0141291560611625
2023-09-30,43,"[0.5, 0.2, 0.1, 0.2]",0.4,0.0056,-0.105912846046844
2023-10-31,136,"[0.2, 0.3, 0.4, 0.1]",0.4,0.0056,-0.0230038539405395
2023-11-30,190,"[0.1, 0.3, 0.2, 0.4]",0.3,0.0042,0.0959867206382939
2023-12-31,212,"[0.1, 0.0, 0.7, 0.2]",0.5,0.007,0.0313458024991531
2024-01-31,184,"[0.1, 0.4, 0.1, 0.4]",0.6,0.0084,0.0274214987829765
2024-02-29,125,"[0.2, 0.6, 0.0, 0.2]",0.3,0.0042,0.0426991155878946
2024-03-31,77,"[0.4, 0.0, 0.6, 0.0]",0.8,0.0112,0.0451664983790281
2024-04-30,271,"[0.0, 0.1, 0.3, 0.6]",0.7,0.0098,-0.0079665130774277
2024-05-31,215,"[0.1, 0.0, 0.4, 0.5]",0.2,0.0028,0.030938206872473
2024-06-30,116,"[0.3, 0.0, 0.3, 0.4]",0.2,0.0028,-0.0342299122203542
2024-07-31,70,"[0.4, 0.2, 0.0, 0.4]",0.3,0.0042,-0.0097682866398422
2024-08-31,219,"[0.1, 0.0, 0.0, 0.9]",0.5,0.007,0.0248706914456227
2024-09-30,211,"[0.1, 0.0, 0.8, 0.1]",0.8,0.0112,0.0138183814440807
2024-10-31,209,"[0.1, 0.1, 0.0, 0.8]",0.8,0.0112,0.0312456695054303
2024-11-30,234,"[0.0, 0.6, 0.0, 0.4]",0.5,0.007,-0.0144177359752174
2024-12-31,264,"[0.0, 0.2, 0.0, 0.8]",0.4,0.0056,-0.0184635325048222
2025-01-31,185,"[0.1, 0.4, 0.0, 0.5]",0.3,0.0042,0.05120735523091
2025-02-28,15,"[0.7, 0.1, 0.0, 0.2]",0.6,0.0084,-0.089243110921728
2025-03-31,226,"[0.0, 0.7, 0.3, 0.0]",0.8999999999999999,0.0125999999999999,-0.0858099594681052
2025-04-30,74,"[0.4, 0.1, 0.2, 0.3]",0.7,0.0098,0.0002934329879063
2025-05-31,5,"[0.8, 0.1, 0.1, 0.0]",0.4,0.0056,0.0638037466256886
2025-06-30,264,"[0.0, 0.2, 0.0, 0.8]",0.9,0.0126,0.0050508269001669
2025-07-31,35,"[0.5, 0.5, 0.0, 0.0]",0.8,0.0112,0.0184775095150525
2025-08-31,43,"[0.5, 0.2, 0.1, 0.2]",0.3,0.0042,-0.0474497407421278
2025-09-30,173,"[0.1, 0.6, 0.1, 0.2]",0.4,0.0056,0.0437834304403328
2025-10-31,161,"[0.2, 0.0, 0.3, 0.5]",0.6,0.0084,0.1171748993651727
2025-11-30,205,"[0.1, 0.1, 0.4, 0.4]",0.2,0.0028,0.0195316852635743
